V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,-5,23,14,19,5,5,1,79.80586242675781,134.8922119140625,2.047856569290161
-98,12,-5,26,15,28,6,5,2,97.61540222167969,126.82754516601562,1.4614452123641968
-98,12,0,26,13,19,7,6,2,114.70478057861328,116.23130798339844,137.81521606445312
-98,12,0,35,10,31,7,6,1,109.9754867553711,126.10472869873047,91.51089477539062
-98,12,0,23,12,1,7,6,1,76.7043228149414,137.67330932617188,1.8152751922607422
-98,12,0,26,11,28,6,5,2,101.42805480957031,125.60736083984375,179.12950134277344
-98,12,0,23,15,31,7,7,1,80.5765609741211,135.0561065673828,1.3088276386260986
-98,12,0,26,15,31,6,7,2,101.1542739868164,126.50469970703125,0.5268698930740356
-98,12,-5,35,10,19,5,7,1,110.39977264404297,124.06333923339844,92.78119659423828
-98,12,0,32,13,1,6,6,1,123.68889617919922,126.9427490234375,95.91385650634766
-98,12,0,20,14,28,7,6,1,83.32500457763672,124.48277282714844,2.2289252281188965
-98,12,0,32,15,13,7,5,1,123.6625747680664,125.63426208496094,96.73968505859375
-98,12,0,32,10,13,5,5,1,122.87865447998047,127.67890930175781,95.28804016113281
-98,12,-5,32,15,19,6,5,1,122.99491882324219,126.41828155517578,99.41614532470703
-98,12,-5,35,14,4,6,6,2,111.14900970458984,124.38690948486328,93.69966888427734
-98,12,-5,23,11,25,5,5,1,80.32389831542969,133.78652954101562,1.537322759628296
-98,12,-5,35,13,25,5,7,1,111.1627426147461,123.7243881225586,93.98609161376953
-98,12,-5,26,15,1,7,6,2,97.34864044189453,126.66105651855469,0.491685152053833
-98,12,0,35,10,10,5,7,1,110.5261001586914,124.53761291503906,92.56243896484375
-98,12,0,20,10,28,7,7,2,81.84996795654297,124.35913848876953,1.698907732963562
-98,12,0,20,10,7,7,6,1,86.83737182617188,121.1978759765625,2.5416159629821777
-98,12,-5,20,14,25,5,6,1,92.64427185058594,113.41569519042969,0.7309064865112305
-98,12,0,26,11,28,6,7,2,101.37855529785156,125.8681640625,179.67489624023438
-98,12,0,29,12,16,7,7,2,110.89153289794922,124.39888763427734,179.858642578125
-98,12,0,29,11,10,7,6,1,112.37110900878906,124.97325134277344,0.3951571583747864
-98,12,0,26,14,22,6,7,2,100.99634552001953,126.32414245605469,0.4408312141895294
-98,12,0,23,12,28,6,5,1,93.05225372314453,130.9360809326172,1.281501293182373
-98,12,-5,23,11,13,5,6,1,80.01689910888672,133.22361755371094,2.173445463180542
-98,12,-5,29,13,4,7,5,2,111.01155853271484,124.67534637451172,179.16259765625
-98,12,-5,20,13,7,6,6,1,86.57644653320312,118.28366088867188,1.5293936729431152
-98,12,-5,32,15,25,6,5,1,123.39823913574219,125.9256820678711,98.66938018798828
-98,12,-5,29,14,28,5,6,2,110.56549072265625,124.98445892333984,0.3072125017642975
-98,12,-5,29,10,7,5,6,2,110.60401153564453,125.14407348632812,0.30275899171829224
-98,12,0,20,11,4,7,7,1,87.219482421875,120.86943817138672,1.655471682548523
-98,12,0,23,14,4,7,6,1,77.63526153564453,136.69558715820312,1.8389670848846436
-98,12,-5,26,11,13,7,5,1,101.36167907714844,129.7689208984375,0.16202235221862793
